Cohort,Segment,StartingGBV,PQ_Coll_Rate,PQ_Revenue_Rate,PQ_Principal_Rate,PQ_Interest_Rate,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202406,NON PRIME,2338555.87,-0.0883400794279065,0.0220533267365067,-0.064744089,-0.0235959904279065,-0.08765997276283959,0.026190338368779473,-0.060655050310122624,-0.027004922452716972
202406,NRP-L,263352.54000000004,-0.0154642796015158,0.0150910573642255,0.0,-0.0154642796015158,-0.0445049414954395,0.01429082914929142,-0.030118897945991135,-0.014386043549448365
202406,NRP-M,2559981.85,-0.0443874212310784,0.0142058423371304,-0.0304792749999999,-0.0139081462310784,-0.05099508621757726,0.015726513602474658,-0.036023371813577405,-0.014971714403999853
202406,NRP-S,1206635.83,-0.0710603074972081,0.0165934440272594,-0.053663639,-0.0173966684972081,-0.06965935665400849,0.018109238431731997,-0.05105068540189557,-0.018608671252112914
202407,NON PRIME,2523024.380000001,-0.0847534520437954,0.0227911208357712,-0.0605759820777358,-0.0241774699660596,-0.09288675871793704,0.026638983618549602,-0.06558591974141888,-0.027300838976518162
202407,NRP-L,471704.42,-0.0540038017918346,0.0146100311036824,-0.0387882171953963,-0.0152155845964382,-0.041981083712168896,0.015021560839453406,-0.026840678679273006,-0.01514040503289589
202407,NRP-M,4349482.11,-0.0414354200659434,0.014383807167615,-0.026757402041689,-0.0146780180242543,-0.04418786733189641,0.015471017691193146,-0.028669519636857994,-0.015518347695038417
202407,NRP-S,1186959.49,-0.0757352069592524,0.0168481486882262,-0.0583319141283677,-0.0174032928308847,-0.07096949797386347,0.018320041688125892,-0.05248351778943706,-0.01848598018442641
202407,PRIME,3074.04,-0.0592266333287242,0.0100326772519103,-0.0488573785631977,-0.0103692547655264,-0.05537591332401059,0.010133167847594434,-0.04501321902349246,-0.010362694300518133
202408,NON PRIME,2642668.7499999995,-0.0888180942503412,0.0219488944329521,-0.06510046389549,-0.0237176303548511,-0.09329119445549651,0.027056155907219714,-0.06506325532344649,-0.028227939132050017
202408,NRP-L,570319.56,-0.0450552963171488,0.0152851171799328,-0.029432438895651,-0.0156228574214977,-0.03787243573722504,0.01570802753372291,-0.022352080009485895,-0.015520355727739148
202408,NRP-M,2983355.65,-0.0434089592297665,0.015367199085322,-0.0279703591547974,-0.0154386000749691,-0.04794100511620324,0.01650290044426545,-0.031378897869344745,-0.016562107246858495
202408,NRP-S,1318156.9200000002,-0.0649359153366651,0.0172865882822319,-0.0470141234013974,-0.0179217919352677,-0.06615426623424062,0.018696822340369006,-0.047092988882649386,-0.019061277351591226
