Cohort,Segment,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate,OpeningGBV
202406,NRP-S,-0.06913816204112055,0.017840841347231483,-0.050670459860816634,-0.018467702180303882,1679978.9366666668
202407,NON PRIME,-0.09016837061915518,0.026075980362793866,-0.06308053227909668,-0.027087838340058484,4023894.5483333333
202407,NRP-L,-0.04168781902776458,0.014880126927574684,-0.026540598411788813,-0.015147220615975733,1745884.1683333332
202407,NRP-M,-0.04441538587185062,0.0152967298563916,-0.028879438629393166,-0.015535947242457382,3962197.9683333333
202407,NRP-S,-0.07361855273833155,0.018084021088397035,-0.055093041692309684,-0.018525511046021802,1680366.7383333333
202407,PRIME,-0.05702398350487717,0.010098329785033883,-0.04663879239937699,-0.01038519110550015,3678.611666666666
202408,NON PRIME,-0.09281355749281307,0.026209239514014965,-0.06515545471010524,-0.02765810278270775,4479387.6866666665
202408,NRP-L,-0.04142415741713527,0.01556611292726405,-0.025890023690770734,-0.015534133726364465,1506980.923333333
202408,NRP-M,-0.04637089920903017,0.0163600644140206,-0.029768482153974114,-0.016602417055055982,2686994.7966666664
202408,NRP-S,-0.0663404289790084,0.0184874188210837,-0.04729474827661237,-0.019045680702395984,1790724.3516666668
202409,NON PRIME,-0.09297037916127432,0.02710768633145272,-0.06488591787021952,-0.02808446129105473,4596543.056666667
202409,NRP-L,-0.04284015127197521,0.015490408014440933,-0.027151098002344887,-0.01568905326963028,1546236.0616666665
202409,NRP-M,-0.050844696974918085,0.0163853761270619,-0.03433771536966671,-0.016506981605251315,2931315.9333333336
202409,NRP-S,-0.07219468118423425,0.01820630466006705,-0.053122176450799564,-0.0190725047334346,1740263.8216666665
202409,PRIME,-0.048958285165442934,0.010115733530935084,-0.038602844832926184,-0.010355440332516718,11750.714999999998
202410,NON PRIME,-0.0904976868197086,0.028334524347591317,-0.06098900187367808,-0.029508684946030466,5895836.973333334
202410,NRP-L,-0.04685636121095901,0.015401856831156217,-0.031121922762343934,-0.01573443844861507,1397028.7866666669
202410,NRP-M,-0.04595243341073493,0.01626336509978162,-0.0294303050955729,-0.016522128315161984,2760549.438333333
202410,NRP-S,-0.0701751575713397,0.018662147033839085,-0.05098801194172343,-0.01918714562961622,1744074.4100000001
202411,NON PRIME,-0.09323217478603385,0.030301239625483162,-0.06265620841177803,-0.030575966374255734,6325229.625
202411,NRP-L,-0.04497444144056032,0.01518951740193125,-0.029574251220050068,-0.015400190220510201,1823561.1883333335
202411,NRP-M,-0.050557503899412416,0.017177769909039183,-0.033191203206053045,-0.017366300693359284,2960054.3000000003
202411,NRP-S,-0.06992497838762196,0.019408229439418234,-0.05015223761542193,-0.0197727407722,1924441.2633333334
202412,NON PRIME,-0.09414203532520136,0.031862437159302315,-0.06184910943704527,-0.03229292588815607,6805084.738333333
202412,NRP-L,-0.03463504364713055,0.015414725680237733,-0.019579246553601118,-0.015055797093529383,891191.2616666667
