CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2020-09-30,NON PRIME,201912,9,87655206.8,-4964863.69,-2737004.44,2386559.871244,0.0,23436.79,80823542.73,0.0,-0.0566408302626924,-0.03122466468244075,0.3312578852243226,0.0,0.0002673747613587286,0.0,0.07793791514961086,Actual
2020-09-30,NON PRIME,202001,0,714749.26,-292631.75,-7312.099999999999,223144.910279,0.0,0.0,9539842.1,0.0,-0.4094187519690471,-0.01023030090300478,3.798436589815893,0.0,0.0,0.0,-12.3471171414714,Actual
2020-09-30,NON PRIME,202001,1,7232835.34,-396009.49,-324106.38,283819.678119,0.0,0.0,6800842.119999999,0.0,-0.05475162524576427,-0.04481041870365599,0.4774254154546396,0.0,0.0,0.0,0.05972667697976388,Actual
2020-09-30,NON PRIME,202001,2,6230804.35,-350682.67,-312050.13,246831.931189,0.0,0.0,5815407.54,0.0,-0.05628208659769585,-0.05008183734737234,0.4819797991997881,0.0,0.0,0.0,0.06666824805693018,Actual
2020-09-30,NON PRIME,202001,3,1651575.08,-102871.44,-81035.12000000001,64602.642371,0.0,0.0,1533165.11,0.0,-0.06228686860545269,-0.04906535644749497,0.4759086190098203,0.0,0.0,0.0,0.07169517839903454,Actual
2020-09-30,NON PRIME,202001,4,153372.84,-13376.38,-7591.62,6121.151953,0.0,0.0,138763.56,0.0,-0.0872147897893786,-0.04949781199852595,0.4855749911664064,0.0,0.0,0.0,0.0952533708054177,Actual
2020-09-30,NON PRIME,202001,6,6254901.75,-394837.63,-255345.85,222914.200679,0.0,309.54,5620449.49,0.0,-0.06312451350654709,-0.04082331908730621,0.4335995805094514,0.0,4.948758787458173e-05,0.0,0.1014328098758705,Actual
2020-09-30,NON PRIME,202001,7,5021753.74,-329520.82,-199050.72,177571.047379,0.0,412.58,4417058.859999999,0.0,-0.06561867368669495,-0.03963769039777725,0.4302177794786023,0.0,8.21585488578737e-05,0.0,0.1204150803300842,Actual
2020-09-30,NON PRIME,202001,8,7522066.59,-478814.41,-295340.34,264493.423244,0.0,505.44,6757530.71,0.0,-0.06365463589973351,-0.03926319136720113,0.4278084057928199,0.0,6.719430012384402e-05,0.0,0.1016390736312266,Actual
2020-09-30,NRP-M,202001,6,188668.52,-5656.79,-3927.19,2160.254376,0.0,0.0,181244.79,0.0,-0.02998269133610631,-0.02081529022435752,0.1393083218546475,0.0,0.0,0.0,0.0393480056980358,Actual
