ForecastMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,Coll_Rate,Coll_P_Approach,Coll_I_Approach,ScenB_Revenue,ScenB_Rev_Rate,ScenA_Revenue,ScenA_Rev_Rate
2025-10-31,NRP-L,202502,8,127420.87,-2318.61,-2020.36,-0.03405227102907083,DonorCohort:202405,DonorCohort:202405,2009.44,0.01577010108312712,1974.4279535227245,0.0154953262642354
2025-10-31,NRP-L,202502,8,127420.87,-2318.61,-2020.36,-0.03405227102907083,DonorCohort:202405,DonorCohort:202405,2009.44,0.01577010108312712,2042.9187958984278,0.0160328429392958
2025-10-31,NRP-L,202502,8,127420.87,-2318.61,-2020.36,-0.03405227102907083,DonorCohort:202405,DonorCohort:202405,2009.44,0.01577010108312712,2050.8195715385664,0.0160948482892839
2025-10-31,NRP-L,202502,8,127420.87,-2318.61,-2020.36,-0.03405227102907083,DonorCohort:202405,DonorCohort:202405,2009.44,0.01577010108312712,2053.8784555415755,0.0161188544352395
2025-10-31,NRP-L,202503,7,83860.81,-5250.0,-1436.48,-0.0797330719796291,DonorCohort:202405,DonorCohort:202405,1339.25,0.015969914910194644,1494.765573978304,0.0178243636566151
2025-10-31,NRP-L,202503,7,83860.81,-5250.0,-1436.48,-0.0797330719796291,DonorCohort:202405,DonorCohort:202405,1339.25,0.015969914910194644,1463.3945416769243,0.0174502791193756
2025-10-31,NRP-L,202503,7,83860.81,-5250.0,-1436.48,-0.0797330719796291,DonorCohort:202405,DonorCohort:202405,1339.25,0.015969914910194644,1460.1700363835382,0.0174118284379025
2025-10-31,NRP-L,202503,7,83860.81,-5250.0,-1436.48,-0.0797330719796291,DonorCohort:202405,DonorCohort:202405,1339.25,0.015969914910194644,1458.9393581721615,0.0173971531895788
2025-10-31,NRP-L,202504,6,62697.2,-761.39,-959.58,-0.027448913189105736,DonorCohort:202405,DonorCohort:202405,983.27,0.015682837511085027,1043.0683493918805,0.0166366017843202
2025-10-31,NRP-L,202504,6,62697.2,-761.39,-959.58,-0.027448913189105736,DonorCohort:202405,DonorCohort:202405,983.27,0.015682837511085027,1054.6277474879073,0.0168209704338935
2025-10-31,NRP-L,202504,6,62697.2,-761.39,-959.58,-0.027448913189105736,DonorCohort:202405,DonorCohort:202405,983.27,0.015682837511085027,1055.516931956837,0.0168351526377069
2025-10-31,NRP-L,202504,6,62697.2,-761.39,-959.58,-0.027448913189105736,DonorCohort:202405,DonorCohort:202405,983.27,0.015682837511085027,1055.8445262348594,0.0168403776601644
2025-10-31,NRP-L,202505,5,16425.98,-277.25,-242.39,-0.031635250986546924,DonorCohort:202405,DonorCohort:202405,253.14,0.015410952649400523,259.47598892925794,0.0157966823854198
2025-10-31,NRP-L,202505,5,16425.98,-277.25,-242.39,-0.031635250986546924,DonorCohort:202405,DonorCohort:202405,253.14,0.015410952649400523,277.0550768681102,0.0168668826376332
2025-10-31,NRP-L,202506,4,29971.3,-419.87,-511.49,-0.031075061809130736,DonorCohort:202405,DonorCohort:202405,462.06,0.015416748689579698,475.7015206915082,0.0158719014754618
2025-10-31,NRP-L,202506,4,29971.3,-419.87,-511.49,-0.031075061809130736,DonorCohort:202405,DonorCohort:202405,462.06,0.015416748689579698,491.497828843934,0.0163989492896182
2025-10-31,NRP-L,202507,3,114199.52,-1320.4,-1771.27,-0.027072530602580466,DonorCohort:202405,DonorCohort:202405,1807.73,0.015829576166344658,1924.2619120000002,0.01685
2025-10-31,NRP-L,202507,3,114199.52,-1320.4,-1771.27,-0.027072530602580466,DonorCohort:202405,DonorCohort:202405,1807.73,0.015829576166344658,1924.2619119999886,0.0168499999999999
2025-10-31,NRP-L,202508,2,46868.77,-583.66,-775.63,-0.029002041231293248,DonorCohort:202405,DonorCohort:202405,744.35,0.015881577434184856,717.8733271666634,0.0153166666666666
2025-10-31,NRP-L,202509,1,15353.37,-171.34,-183.34,-0.023101117214005783,DonorCohort:202405,DonorCohort:202405,250.13,0.016291537297674713,235.16245049999898,0.0153166666666666
2025-10-31,NRP-M,202101,57,3035583.9,-373998.55,-32838.09,-0.13402253187599264,CohortAvg,CohortTrend,29007.12,0.009555697011042917,30987.601764138763,0.010208119025845
2025-10-31,NRP-M,202101,57,3035583.9,-373998.55,-32838.09,-0.13402253187599264,CohortAvg,CohortTrend,29007.12,0.009555697011042917,34476.28132135048,0.0113573804767348
2025-10-31,NRP-M,202101,57,3035583.9,-373998.55,-32838.09,-0.13402253187599264,CohortAvg,CohortTrend,29007.12,0.009555697011042917,36372.794306550706,0.0119821409998092
2025-10-31,NRP-M,202101,57,3035583.9,-373998.55,-32838.09,-0.13402253187599264,CohortAvg,CohortTrend,29007.12,0.009555697011042917,37499.82334235368,0.0123534135697431
2025-10-31,NRP-M,202201,37,194456.57,-14040.25,-2365.8,-0.08436871019580361,CohortAvg,CohortTrend,2343.18,0.01204988856894884,2189.8642195374896,0.0112614565789034
2025-10-31,NRP-M,202201,37,194456.57,-14040.25,-2365.8,-0.08436871019580361,CohortAvg,CohortTrend,2343.18,0.01204988856894884,2302.0084421185256,0.0118381623316637
2025-10-31,NRP-M,202201,37,194456.57,-14040.25,-2365.8,-0.08436871019580361,CohortAvg,CohortTrend,2343.18,0.01204988856894884,2350.5393300040164,0.0120877341917736
2025-10-31,NRP-M,202201,37,194456.57,-14040.25,-2365.8,-0.08436871019580361,CohortAvg,CohortTrend,2343.18,0.01204988856894884,2375.816516147912,0.0122177230429803
2025-10-31,NRP-M,202301,28,11951897.25,-560296.01,-170889.0,-0.06117731726651181,CohortTrend,CohortTrend,162353.12,0.013583878492596646,162870.71471905315,0.013627184982623
