calendarmonth,openinggbv,principalcollections,interestcollections,interestrevenue,total_coll,coll_rate,rev_rate
202307,176744054.83,-10276314.85,-3717870.25,3964034.44911,-13994185.1,-0.07917768500592681,0.022428106297112952
202308,176017602.63,-10116435.64,-3388234.15,3895045.723751,-13504669.790000001,-0.07672340486529441,0.02212872840870711
202309,172604727.96,-9698694.56,-3251153.13,3789397.4254880003,-12949847.690000001,-0.07502603111196955,0.021954192508366097
202310,170459808.79,-10353334.96,-4211303.24,3927801.5830719997,-14564638.200000001,-0.08544323910361229,0.02304239111232902
202311,173721916.94,-9800064.95,-3657803.74,3929975.192412,-13457868.69,-0.07746788043242737,0.02262221866783414
202312,179370509.76,-9582144.44,-3179163.16,4096076.44421,-12761307.6,-0.07114495920803698,0.0228358410180726
202401,175919357.94,-10307806.23,-4335381.02,4198996.699379,-14643187.25,-0.08323806669982438,0.023868872354633832
202402,183410867.34,-10721474.56,-3643629.34,4105175.227738,-14365103.9,-0.07832198881307575,0.022382399076320728
202403,189033966.97,-10775291.45,-3782031.67,4393417.230319,-14557323.12,-0.07700903363208936,0.0232414168772972
202404,190570692.4,-11226611.540000001,-4508661.83,4063364.242023,-15735273.370000001,-0.08256921970442503,0.021322083636523534
202405,200156282.18,-11407768.93,-3945203.13,5309481.571714,-15352972.059999999,-0.07670492223767982,0.026526679621972582
202406,205252633.02,-9818072.0,-5112139.18,4681667.55241,-14930211.18,-0.07274065604091513,0.022809293520506573
202407,206922271.83,-11129523.1,-4771520.78,4994782.004027,-15901043.879999999,-0.0768454924613612,0.024138445609811085
202408,216337792.07,-10797706.83,-4769204.66,5101109.90673,-15566911.49,-0.07195650533848032,0.02357937491143223
202409,223326435.44,-11300398.16,-5148330.29,5062729.724371,-16448728.45,-0.07365329777279858,0.022669639240855473
202410,222527842.63,-11682369.07,-4835972.19,5357420.745863,-16518341.260000002,-0.07423044714213703,0.024075282816500652
202411,228258764.31,-10939983.07,-5076882.46,5317761.192214,-16016865.530000001,-0.07016977235646195,0.023297073425806804
202412,233364583.74,-11321819.24,-5302128.12,5557004.844323,-16623947.36,-0.07123594803280581,0.02381254582535224
202501,230243442.73,-11854282.98,-5393640.28,5589182.082773,-17247923.26,-0.07491168067802981,0.024275097768266418
202502,235426194.92,-12356475.48,-5501077.81,5185625.678181,-17857553.29,-0.07585202358670479,0.0220265450067828
202503,241055665.12,-12868932.24,-5039929.46,5730784.569848,-17908861.7,-0.07429346948176796,0.02377369794232032
202504,242119732.03,-12727865.6,-5602603.43,5864991.398527,-18330469.03,-0.07570828232921038,0.024223516808618863
202505,249141574.89,-11860994.77,-5310096.22,5969052.292004,-17171090.99,-0.06892101809014137,0.02395847539552334
202506,257053635.75,-12973001.71,-6247119.65,6099643.816916,-19220121.36,-0.07477085980099778,0.023729070390773495
202507,257745125.5,-12790265.46,-5769853.16,6356328.552619,-18560118.62,-0.07200958149643068,0.024661294914068124
202508,268939874.17,-11862595.73,-5890411.57,6533896.942507,-17753007.3,-0.06601106420083368,0.024295010037733742
202509,276739777.79,-12919314.24,-6557849.87,6482305.67505,-19477164.11,-0.07038078972795868,0.023423830599332937
