Cohort,Segment,CalendarMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202202,NRP-M,202404,1020305.9800000001,-73649.69,-14806.380000000001,13609.125890000001,943020.87,-0.08669563026573655,0.01333827906212997,-0.07218392466934281,-0.01451170559639374
202202,NRP-M,202405,943020.87,-48024.6,-12501.329999999998,13031.761853999998,895053.51,-0.06418302279990896,0.013819165904567943,-0.05092633845950832,-0.013256684340400652
202202,NRP-M,202406,895053.51,-40913.79,-11146.64,11760.036067000001,831759.4600000001,-0.058164600684041785,0.013138919556887722,-0.0457109988876531,-0.012453601796388686
202202,NRP-M,202407,831759.46,-50906.92,-11298.42,11322.04615,772237.33,-0.0747876555560907,0.013612163966250533,-0.061203896616937786,-0.013583758939152915
202202,NRP-M,202408,772237.33,-37768.23,-9456.67,10490.816636,735136.86,-0.06115335035668375,0.013584964399480662,-0.0489075424520076,-0.012245807904676146
202202,NRP-M,202409,735136.86,-44172.57,-10024.4,9451.685256,660741.18,-0.07372364650576765,0.012857041688808803,-0.06008754614752959,-0.013636100358238055
202202,NRP-M,202410,660741.18,-37204.65,-8150.06,9001.815479,623827.5,-0.06864217241613425,0.013623814818080508,-0.056307448553456284,-0.01233472386267797
202202,NRP-M,202411,623827.5,-36792.06,-7730.919999999999,8203.097105,586392.71,-0.07137065935695364,0.013149624062741705,-0.05897793861283768,-0.012392720744115961
202202,NRP-M,202412,586392.71,-34672.83,-7396.13,7609.173838,524269.83,-0.07174195600078316,0.012976242214880196,-0.059129026348230015,-0.01261292965255315
202202,NRP-M,202501,524269.82999999996,-36381.31,-6451.44,6893.998784,482874.56,-0.08169981858387694,0.013149714878691382,-0.0693942468518549,-0.01230557173202204
202202,NRP-M,202502,482874.55999999994,-35896.07,-6435.63,6042.519327,446804.14999999997,-0.08766603898122113,0.012513641901118172,-0.07433829191581351,-0.013327747065407632
202202,NRP-M,202503,446804.15,-25071.94,-5116.5199999999995,6087.323165000001,411737.42,-0.06756530797666047,0.013624141953471114,-0.05611393716911536,-0.011451370807545094
202202,NRP-M,202504,411737.42000000004,-23292.3,-5515.69,5325.767956000001,388205.01000000007,-0.0699668978350328,0.01293486503121334,-0.056570762987731345,-0.013396134847301464
202202,NRP-M,202505,388205.01,-16002.23,-4394.97,5114.6829689999995,372320.33,-0.05254234096566657,0.013175211131355568,-0.04122108058316919,-0.011321260382497382
202202,NRP-M,202506,372320.33,-22253.76,-4699.74,4466.2872,326073.35000000003,-0.07239330712883714,0.011995818761763559,-0.05977046700619329,-0.012622840122643853
202202,NRP-M,202507,326073.35000000003,-22141.170000000002,-3941.03,4188.804143,304008.96,-0.07998875099728327,0.012846202067724945,-0.06790242134170119,-0.012086329655582095
202202,NRP-M,202508,304008.95999999996,-22505.920000000002,-3708.81,3795.106839,281490.16,-0.08623012295427085,0.01248353613985588,-0.07403044962885307,-0.012199673325417779
202202,NRP-M,202509,281490.16,-22049.559999999998,-3632.71,3399.866496,253796.53,-0.09123683044551184,0.01207810069097975,-0.07833154807258627,-0.012905282372925576
202202,NRP-S,202202,243056.86,-138944.33000000002,-589.6400000000001,55881.62598,6477641.58,-0.5740795384257003,0.22991174155709904,-0.5716536040167721,-0.0024259344089280184
202202,NRP-S,202203,6477641.58,-350266.58,-108695.91,102453.468984,6122143.680000001,-0.07085333208571876,0.015816476987601406,-0.0540731646964635,-0.016780167389255272
202202,NRP-S,202204,6122143.68,-333583.63,-91513.48000000001,91520.44594199999,5789856.170000001,-0.06943599043399125,0.01494908494895043,-0.05448804331230593,-0.014947947121685326
202202,NRP-S,202205,5789856.17,-336375.47000000003,-94099.91,88706.8557,5449515.45,-0.07434992638167728,0.015321081058909966,-0.05809737929983847,-0.016252547081838823
202202,NRP-S,202206,5449515.449999999,-307001.97000000003,-82467.51,81547.060763,5142375.9,-0.07146864406082197,0.014964093874254455,-0.056335645401280596,-0.015132998659541375
202202,NRP-S,202207,5142375.9,-305701.44000000006,-74347.17,78719.231281,4842185.0200000005,-0.07390525651771199,0.015307949634914863,-0.05944750946736508,-0.014457747050346902
202202,NRP-S,202208,4820466.7,-298963.06,-75965.65,72442.213171,4517436.95,-0.07777850845852746,0.015028049705436195,-0.062019526034688716,-0.015758982423838754
202202,NRP-S,202209,4517473.49,-283969.42,-65875.76,66362.736326,4189084.4400000004,-0.0774426636425043,0.014690232598575801,-0.06286022942439004,-0.014582434218114247
202202,NRP-S,202210,4152322.0700000003,-266908.33,-63821.95,63089.393474000004,3884292.41,-0.07964947670834213,0.015193762046979174,-0.06427929373021876,-0.015370182978123368
202202,NRP-S,202211,3884292.41,-266616.00999999995,-56509.21,57018.05236,3611541.26,-0.08318766609025709,0.014679134921255837,-0.06863953118297804,-0.014548134907279032
202202,NRP-S,202212,3611543.9499999997,-203141.88,-49799.84,53754.346026,3352374.33,-0.0700370045337535,0.014884034853293147,-0.05624793241128909,-0.01378907212246441
202202,NRP-S,202301,3352374.33,-256853.18999999997,-52249.259999999995,49311.52978,3081440.9899999998,-0.0922040379661301,0.01470943424745768,-0.0766182904162734,-0.015585747549856699
202202,NRP-S,202302,3081440.9899999998,-221882.07,-44802.299999999996,43340.29076,2864291.67,-0.08654534383927956,0.014064942635815333,-0.07200594485504005,-0.014539398984239513
202202,NRP-S,202303,2864483.8,-170048.32,-39615.49,43124.580686999994,2618734.0700000003,-0.07319427325789031,0.015054922177252319,-0.05936438530390712,-0.013829887953983192
202202,NRP-S,202304,2618734.0700000003,-143964.6,-35191.67,37991.626399,2461572.8200000003,-0.06841331162732381,0.01450763055104713,-0.054974883341247394,-0.013438428286076408
