ForecastMonth,Cohort,Segment,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,PQ_Revenue_Rate,v32_Revenue_Rate,ScenA_Revenue,ScenB_Revenue
2025-11-30,202503,NRP-M,6032814.17,-176113.39,-99269.14,96174.95,0.0168296385885087,0.015941971240927517,101530.08215273409,96174.95
2025-11-30,202503,NRP-S,2569346.42,-129559.49,0.0,48381.76,0.0213043809831144,0.018830376325820637,54738.335009281065,48381.76
2025-11-30,202504,NON PRIME,8673426.4,-490248.85,-249757.4,243421.39,0.0356338912627711,0.028065193474173022,309067.9332132482,243421.39
2025-11-30,202504,NRP-L,61959.51,-3878.89,-1061.32,989.49,0.0166366017843202,0.015969945533784887,1030.7956946216052,989.49
2025-11-30,202504,NRP-M,7573178.15,-159895.25,-118257.78,119066.45,0.0164275860246004,0.015722124534994598,124409.03553874911,119066.45
2025-11-30,202504,NRP-S,2293240.82,-109707.32,0.0,42047.21,0.020487502908049,0.018335278891468538,46982.777968606664,42047.21
2025-11-30,202504,PRIME,3338.68,-45.47,-33.81,33.91,0.011135166842726,0.010156708639342494,37.17675883447244,33.91
2025-11-30,202505,NON PRIME,9362941.29,-586180.05,-281777.42,287769.31,0.0343489874306925,0.03073492624666453,321607.55268452177,287769.31
2025-11-30,202505,NRP-L,16159.48,-196.24,-247.32,253.43,0.0157966823854198,0.015683054157683292,255.26617307354354,253.43
2025-11-30,202505,NRP-M,7103081.56,-200459.16,-119289.87,116773.66,0.016636899719721,0.016439859096873444,118173.25561471941,116773.66
2025-11-30,202505,NRP-S,2346160.95,-126116.92,0.0,46454.46,0.0204843399464785,0.0198002016869303,48059.55846895295,46454.46
2025-11-30,202506,NON PRIME,10399695.66,-584929.09,-360486.35,328646.39,0.035520772510527,0.03160153919350367,369405.22371757496,328646.39
2025-11-30,202506,NRP-L,29501.99,-497.95,-435.35,454.65,0.0158719014754618,0.015410824829104747,468.25267861005926,454.65
2025-11-30,202506,NRP-M,6963148.64,-162428.67,-112601.78,116150.04,0.0167330498622469,0.016680677952610818,116514.71339135668,116150.04
2025-11-30,202506,NRP-S,2691249.3,-154495.95,0.0,54157.37,0.0206818517867955,0.020123505466401796,55660.01914391714,54157.37
2025-11-30,202507,NON PRIME,12805853.39,-659701.36,-430698.77,420567.8,0.0377833333333333,0.03284184092943141,483847.8272521663,420567.8
2025-11-30,202507,NRP-L,112915.58,-1581.85,-1927.03,1740.78,0.01685,0.015416650208943708,1902.627523,1740.78
2025-11-30,202507,NRP-M,8403568.07,-140941.05,-143907.32,140250.47,0.0155583333333333,0.01668939536536651,130745.5132224164,140250.47
2025-11-30,202507,NRP-S,3038919.18,-145705.19,0.0,62013.02,0.0212333333333333,0.02040627483880634,64526.3839219999,62013.02
2025-11-30,202507,PRIME,9672.49,-169.06,-101.04,97.63,0.0113,0.010093574663814591,109.29913699999999,97.63
2025-11-30,202508,NON PRIME,10032133.42,-514692.21,-350705.54,343549.84,0.0379333333333333,0.03424494328545324,380552.261065333,343549.84
2025-11-30,202508,NRP-L,46253.82,-534.79,-717.41,732.18,0.0153166666666666,0.015829611478576255,708.4543429999969,732.18
2025-11-30,202508,NRP-M,7379911.9,-231251.28,-128306.6,124476.57,0.01575,0.016866945254454868,116233.61242500001,124476.57
2025-11-30,202508,NRP-S,3199741.19,-154759.39,0.0,66467.49,0.0205083333333333,0.02077277068774428,65621.35890491656,66467.49
2025-11-30,202508,PRIME,29545.06,-502.28,-308.6,298.28,0.0112416666666666,0.010095765586531216,332.1357161666647,298.28
2025-11-30,202509,NON PRIME,11056825.09,-507990.32,-459990.65,393224.47,0.0379333333333333,0.035563958622773145,419422.23174733296,393224.47
2025-11-30,202509,NRP-L,15248.82,-189.9,-252.35,242.17,0.0153166666666666,0.0158812288426252,233.56109299999898,242.17
2025-11-30,202509,NRP-M,8585431.18,-171141.13,-150603.94,146907.58,0.01575,0.017111264061172055,135220.541085,146907.58
2025-11-30,202509,NRP-S,3256422.87,-125987.41,0.0,68527.71,0.0205083333333333,0.021043860928295226,66783.8056922499,68527.71
2025-11-30,202509,PRIME,24667.25,-372.95,-292.76,249.1,0.0112416666666666,0.010098409834902553,277.3010020833317,249.1
2025-12-31,201912,NON PRIME,350324.05,12618.38,4059.53,0.0,0.0,0.0,0.0,0.0
2025-12-31,201912,NRP-S,59521.72,-476.02,0.0,0.0,0.0083333333333333,0.0,496.01433333333136,0.0
2025-12-31,202001,NON PRIME,90137.8,3285.77,876.76,0.0,0.0083333333333333,0.0,751.1483333333304,0.0
2025-12-31,202001,NRP-S,2042.78,-1021.39,0.0,0.0,0.0083333333333333,0.0,17.023166666666597,0.0
2025-12-31,202101,NON PRIME,816758.73,-865.48,4566.36,0.0,0.0083333333333333,0.0,6806.322749999973,0.0
2025-12-31,202101,NRP-M,2263424.84,-387335.91,-25274.77,25487.51,0.010208119025845,0.01126059480729212,23105.310172774174,25487.51
2025-12-31,202101,NRP-S,1820717.48,-198051.68,0.0,17340.94,0.0106469523176989,0.00952423436940914,19385.0921935609,17340.94
2025-12-31,202101,PRIME,2718736.73,-352457.96,-25441.04,23249.23,0.0083333333333333,0.008551482658639037,22656.139416666578,23249.23
2025-12-31,202201,NON PRIME,1017806.09,-116194.56,-11200.59,7445.95,0.01019598375111,0.007315686232531779,10377.534355420801,7445.95
